clip,frame_idx,keypoint_index,verdict,actual_index,confidence,labelled_at
clip_2,4,15,correct,,1.000000,2026-08-14T09:33:23.807280+00:00
clip_2,4,16,correct,,0.999999,2026-08-14T09:33:26.053290+00:00
clip_2,4,17,correct,,1.000000,2026-08-14T09:33:28.289762+00:00
clip_1,8,0,correct,,1.000000,2026-08-14T09:33:33.839838+00:00
clip_1,8,1,correct,,1.000000,2026-08-14T09:33:35.922865+00:00
clip_1,8,2,correct,,1.000000,2026-08-14T09:33:37.971914+00:00
clip_1,8,3,correct,,0.999882,2026-08-14T09:33:40.089515+00:00
clip_1,8,8,correct,,1.000000,2026-08-14T09:33:42.288692+00:00
clip_1,8,9,correct,,1.000000,2026-08-14T09:33:44.348118+00:00
clip_1,28,0,correct,,0.981483,2026-08-14T09:33:46.538695+00:00
clip_1,28,1,correct,,0.928756,2026-08-14T09:33:48.756780+00:00
clip_1,28,6,correct,,0.946022,2026-08-14T09:33:52.094203+00:00
clip_1,28,7,correct,,0.999542,2026-08-14T09:33:54.419907+00:00
clip_1,28,8,correct,,0.999999,2026-08-14T09:33:56.821147+00:00
clip_1,28,9,correct,,0.999997,2026-08-14T09:33:58.980694+00:00
clip_3,116,12,correct,,0.988748,2026-08-14T09:34:02.183204+00:00
clip_3,116,13,correct,,0.999959,2026-08-14T09:34:22.779269+00:00
clip_3,116,14,correct,,0.999999,2026-08-14T09:34:30.434818+00:00
clip_3,116,15,correct,,1.000000,2026-08-14T09:34:33.477058+00:00
clip_3,116,16,correct,,1.000000,2026-08-14T09:34:36.550454+00:00
clip_3,116,17,correct,,1.000000,2026-08-14T09:34:39.589100+00:00
